Carimbo de data/hora,1. Em qual período / semestre do seu curso de graduação você se encontra atualmente? *,2. Qual era a sua relação com o desenvolvimento de software antes de ingressar na faculdade?,3. Você atua ou já atuou profissionalmente como desenvolvedor(a) de software? ,4. Qual é o seu foco principal de atuação ou interesse?,5. Qual é a sua faixa etária?,6. Qual é a sua modalidade de contratação atual?,7. Como você se classifica profissionalmente?,8. Anos de experiência total em projetos de software (incluindo acadêmicos)?,9. Quais dessas tecnologias / stacks você usa ou domina?,10. Quais idiomas você domina em nível intermediário ou avançado (capaz de utilizar no ambiente de trabalho)?,"11. Você possui alguma certificação profissional na área de tecnologia (ex: AWS, Azure, Scrum, GitHub, Oracle, etc.)?",12. Como você avalia o mercado de tecnologia no Brasil atualmente?,"13. Como você avalia o impacto prático da IA generativa (ex: ChatGPT, GitHub Copilot, etc.) no seu trabalho ou estudos hoje?",14. Qual mudança você considera maior ameaça para desenvolvedores nos próximos 3 anos?,15. Você tem interesse em trabalhar remotamente para empresas do exterior?,16. Qual é o seu principal objetivo nos próximos 12 meses em relação à carreira?,17. O que mais te motiva a seguir ou permanecer na carreira de desenvolvimento de software?,18. Qual habilidade você sente mais necessidade de desenvolver?,"19. No seu ambiente de trabalho (ou projetos acadêmicos/pessoais), com qual frequência você utiliza métricas para avaliar o software ou a produtividade do time (ex: code coverage, commits, velocity, tempo de entrega, volumetria de bugs)?"
12/06/2026 19:34:19,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, mas não mais  —  Já trabalhei, hoje estou em outra área ou parado(a)","Back-end, Front-end, Full-stack, Mobile, Dados / BI, DevOps / Cloud",26 – 30 anos,Não estou trabalhando no momento,Não me aplico,3 – 5 anos,"JavaScript / TypeScript, Python, Java, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta","Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Impacto real dos produtos construídos na vida das pessoas","Soft skills / comunicação, Inglês técnico, Arquitetura de software, IA / Machine Learning, Gestão / Liderança","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:34:25,5º ao 6º período,Ensino Técnico — Já tinha base técnica de programação vinda de um curso técnico de nível médio (ex: Técnico em Informática).,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, Front-end, Full-stack, DevOps / Cloud",22 – 25 anos,Estágio,Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, SQL / Bancos de dados",Não possuo domínio de outros idiomas além do português,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Trabalhar para o exterior ou me mudar","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos, Impacto real dos produtos construídos na vida das pessoas","Inglês técnico, Testes automatizados, Análise de dados",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:35:02,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Front-end, Full-stack, Mobile",22 – 25 anos,Estágio,Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, C# / .NET, SQL / Bancos de dados",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação,"Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida","Remuneração e pacotes de benefícios atrativos, Desafio intelectual e a satisfação de resolver problemas complexos","Inglês técnico, Arquitetura de software, IA / Machine Learning, Análise de dados","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:35:08,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, Full-stack, Pesquisa Acadêmica",26 – 30 anos,CLT,Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, Java, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado,"Sim, é uma meta",Migrar para uma empresa maior ou mais reconhecida,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Inglês técnico, Arquitetura de software, Testes automatizados, Cloud / DevOps","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:35:35,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área",Back-end,18 – 21 anos,CLT,Pleno,3 – 5 anos,"Java, Go, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Talvez, ainda avaliando","Ser promovido(a) / subir de nível, Seguir carreira acadêmica / mestrado / doutorado","Remuneração e pacotes de benefícios atrativos, Desafio intelectual e a satisfação de resolver problemas complexos, Impacto real dos produtos construídos na vida das pessoas","Inglês técnico, IA / Machine Learning",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:35:38,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Ainda não, mas busco meu primeiro emprego  —  Cursando, sem experiência formal ainda","Back-end, Dados / BI, QA / Testes, Pesquisa Acadêmica",18 – 21 anos,Não estou trabalhando no momento,Estágio / Trainee,3 – 5 anos,"JavaScript / TypeScript, Python, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta","Neutro — Utilizo pontualmente, mas não mudou minha rotina de forma significativa","Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas","Sim, é uma meta",Trabalhar para o exterior ou me mudar,"Remuneração e pacotes de benefícios atrativos, Ampla quantidade de vagas e estabilidade relativa do setor","Cloud / DevOps, IA / Machine Learning, Gestão / Liderança",Não sei opinar / Não me aplico
12/06/2026 19:36:00,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, DS/AI",22 – 25 anos,"CLT, PJ",Pleno,3 – 5 anos,"Python, Java, SQL / Bancos de dados, AWS / GCP / Azure","Inglês, Espanhol",Não possuo e não tenho interesse no momento,Aquecido  —  Muitas vagas e boas oportunidades,Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Redução salarial por conta da IA.,"Sim, é uma meta",n/a,n/a,IA / Machine Learning,"Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas., Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:37:26,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Dados / BI, Gestão / PM",18 – 21 anos,Estágio,Júnior,1 – 2 anos,"JavaScript / TypeScript, Python, Java, SQL / Bancos de dados, Power BI, Excel ",Inglês,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Ampla quantidade de vagas e estabilidade relativa do setor","Soft skills / comunicação, Inglês técnico, Análise de dados, Gestão / Liderança",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:38:02,7º ao 8º período,"Experiência Profissional — Já trabalhava formal ou informalmente na área (freelas, estágio ou CLT) antes de iniciar a graduação.","Sim, mas não mais  —  Já trabalhei, hoje estou em outra área ou parado(a)","Full-stack, Mobile, IoT",Acima de 35 anos,Freelancer / autônomo,Não me aplico,Mais de 10 anos,"JavaScript / TypeScript, Python, Java, C# / .NET, C C++",Inglês,Não possuo e não tenho interesse no momento,Não tenho opinião formada,Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas","Talvez, ainda avaliando",Empreender / criar meu próprio negócio,"Desafio intelectual e a satisfação de resolver problemas complexos, A atividade em si.","Arquitetura de software, IA / Machine Learning",Não sei opinar / Não me aplico
12/06/2026 19:38:04,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área",Back-end,22 – 25 anos,"CLT, PJ",Pleno,3 – 5 anos,"JavaScript / TypeScript, Java, Go, SQL / Bancos de dados, AWS / GCP / Azure, Apex",Inglês,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta","Neutro — Utilizo pontualmente, mas não mudou minha rotina de forma significativa",Piora no modelo de entrega de software ,"Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)",Performance e desempenho,Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:40:03,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, mas não mais  —  Já trabalhei, hoje estou em outra área ou parado(a)",Gestão / PM,22 – 25 anos,PJ,Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, Java, C# / .NET, SQL / Bancos de dados",Inglês,"Sim, possuo e mantenho ativa(s)","Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar, Seguir carreira acadêmica / mestrado / doutorado","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Impacto real dos produtos construídos na vida das pessoas","Cloud / DevOps, IA / Machine Learning, Análise de dados",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:41:19,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área",Back-end,22 – 25 anos,CLT,Pleno,3 – 5 anos,"JavaScript / TypeScript, Java, C# / .NET, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Não vejo ameaças significativas,"Sim, é uma meta",Trabalhar para o exterior ou me mudar,Desafio intelectual e a satisfação de resolver problemas complexos,Arquitetura de software,Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:44:08,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, mas não mais  —  Já trabalhei, hoje estou em outra área ou parado(a)","Back-end, Front-end, Full-stack",18 – 21 anos,PJ,Estágio / Trainee,3 – 5 anos,"JavaScript / TypeScript, Python",Inglês,Não possuo e não tenho interesse no momento,Aquecido  —  Muitas vagas e boas oportunidades,Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Talvez, ainda avaliando",Empreender / criar meu próprio negócio,"apenas interesse pessoal, talvez oportunidade pra abrir uma empresa na área ","Soft skills / comunicação, Inglês técnico, Arquitetura de software, IA / Machine Learning, Análise de dados",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
12/06/2026 19:44:41,7º ao 8º período,"Experiência Profissional — Já trabalhava formal ou informalmente na área (freelas, estágio ou CLT) antes de iniciar a graduação.","Sim, atualmente  —  Estou empregado(a) na área",Full-stack,26 – 30 anos,CLT,Pleno,6 – 10 anos,"JavaScript / TypeScript, Python, Java, C# / .NET, SQL / Bancos de dados",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta","Neutro — Utilizo pontualmente, mas não mudou minha rotina de forma significativa","Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta","Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Soft skills / comunicação, Gestão / Liderança","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:45:53,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Mobile,22 – 25 anos,CLT,Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, Java, Kotlin / Swift, SQL / Bancos de dados, AWS / GCP / Azure, Swift","Inglês, Espanhol, Frances","Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado,"Sim, é uma meta","Ser promovido(a) / subir de nível, Trabalhar para o exterior ou me mudar","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Impacto real dos produtos construídos na vida das pessoas",IA / Machine Learning,"Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:51:31,5º ao 6º período,Ensino Técnico — Já tinha base técnica de programação vinda de um curso técnico de nível médio (ex: Técnico em Informática).,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, Front-end, Full-stack, DevOps / Cloud, QA / Testes",26 – 30 anos,CLT,Pleno,3 – 5 anos,"JavaScript / TypeScript, Java, SQL / Bancos de dados",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar",Flexibilidade (como a possibilidade de atuar em Home Office),"Soft skills / comunicação, Inglês técnico, Arquitetura de software, Cloud / DevOps",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 20:06:43,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Back-end,22 – 25 anos,Estágio,Pleno,3 – 5 anos,"JavaScript / TypeScript, Java, SQL / Bancos de dados","Inglês, Alemão","Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Não vejo ameaças significativas","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos, Impacto real dos produtos construídos na vida das pessoas","Arquitetura de software, Testes automatizados, Cloud / DevOps, IA / Machine Learning, Gestão / Liderança",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
12/06/2026 20:23:57,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, DevOps / Cloud, Gestão / PM, Pesquisa Acadêmica",22 – 25 anos,PJ,Pleno,3 – 5 anos,"JavaScript / TypeScript, Java, SQL / Bancos de dados, AWS / GCP / Azure",Não possuo domínio de outros idiomas além do português,"Não, mas estou estudando para obter uma nos próximos meses","Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Talvez, ainda avaliando","Migrar para uma empresa maior ou mais reconhecida, Seguir carreira acadêmica / mestrado / doutorado, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)","Inglês técnico, Cloud / DevOps",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
