Carimbo de data/hora,1. Em qual período / semestre do seu curso de graduação você se encontra atualmente? *,2. Qual era a sua relação com o desenvolvimento de software antes de ingressar na faculdade?,3. Você atua ou já atuou profissionalmente como desenvolvedor(a) de software? ,4. Qual é o seu foco principal de atuação ou interesse?,5. Qual é a sua faixa etária?,6. Qual é a sua modalidade de contratação atual?,7. Como você se classifica profissionalmente?,8. Anos de experiência total em projetos de software (incluindo acadêmicos)?,9. Quais dessas tecnologias / stacks você usa ou domina?,10. Quais idiomas você domina em nível intermediário ou avançado (capaz de utilizar no ambiente de trabalho)?,"11. Você possui alguma certificação profissional na área de tecnologia (ex: AWS, Azure, Scrum, GitHub, Oracle, etc.)?",12. Como você avalia o mercado de tecnologia no Brasil atualmente?,"13. Como você avalia o impacto prático da IA generativa (ex: ChatGPT, GitHub Copilot, etc.) no seu trabalho ou estudos hoje?",14. Qual mudança você considera maior ameaça para desenvolvedores nos próximos 3 anos?,15. Você tem interesse em trabalhar remotamente para empresas do exterior?,16. Qual é o seu principal objetivo nos próximos 12 meses em relação à carreira?,17. O que mais te motiva a seguir ou permanecer na carreira de desenvolvimento de software?,18. Qual habilidade você sente mais necessidade de desenvolver?,"19. No seu ambiente de trabalho (ou projetos acadêmicos/pessoais), com qual frequência você utiliza métricas para avaliar o software ou a produtividade do time (ex: code coverage, commits, velocity, tempo de entrega, volumetria de bugs)?"
12/06/2026 21:12:44,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Back-end,22 – 25 anos,CLT,Júnior,3 – 5 anos,Java,Não possuo domínio de outros idiomas além do português,Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Sim, é uma meta",Ser promovido(a) / subir de nível,Remuneração e pacotes de benefícios atrativos,Inglês técnico,Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 21:43:20,Já concluí a graduação / Não me aplico,"Experiência Profissional — Já trabalhava formal ou informalmente na área (freelas, estágio ou CLT) antes de iniciar a graduação.","Sim, atualmente  —  Estou empregado(a) na área",Back-end,Acima de 35 anos,CLT,Sênior,Mais de 10 anos,"SQL / Bancos de dados, Ruby",Inglês,Não possuo e não tenho interesse no momento,"Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta",Cheguei onde queria na minha carreira,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Cloud / DevOps, IA / Machine Learning, Análise de dados",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
15/06/2026 12:46:20,"5º ao 6º período, 7º ao 8º período",Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Full-stack, Mobile",22 – 25 anos,PJ,Pleno,3 – 5 anos,"Python, Kotlin / Swift, SQL / Bancos de dados, Prompts para IAs, independe da linguagem",Inglês,Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Talvez, ainda avaliando",Empreender / criar meu próprio negócio,"Remuneração e pacotes de benefícios atrativos, Desafio intelectual e a satisfação de resolver problemas complexos, Impacto real dos produtos construídos na vida das pessoas","Arquitetura de software, Testes automatizados, IA / Machine Learning",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
15/06/2026 17:21:15,7º ao 8º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área",Full-stack,22 – 25 anos,CLT,Pleno,3 – 5 anos,"JavaScript / TypeScript, Kotlin / Swift, SQL / Bancos de dados",Espanhol,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Sim, é uma meta",Ser promovido(a) / subir de nível,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Inglês técnico, Cloud / DevOps","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
15/06/2026 17:27:40,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, QA / Testes",22 – 25 anos,PJ,Pleno,3 – 5 anos,Python,Inglês,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas,"Sim, é uma meta","Trabalhar para o exterior ou me mudar, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)","Soft skills / comunicação, IA / Machine Learning",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
15/06/2026 17:40:14,"5º ao 6º período, 7º ao 8º período",Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Full-stack,18 – 21 anos,CLT,Júnior,Menos de 1 ano,"SQL / Bancos de dados, PHP",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos",Cloud / DevOps,"Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
15/06/2026 17:40:56,Já concluí a graduação / Não me aplico,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Mobile,26 – 30 anos,CLT,Sênior,6 – 10 anos,"Java, Kotlin / Swift",Inglês,Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta","Neutro — Utilizo pontualmente, mas não mudou minha rotina de forma significativa","Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Talvez, ainda avaliando",Ser promovido(a) / subir de nível,"Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos, Impacto real dos produtos construídos na vida das pessoas","Soft skills / comunicação, Inglês técnico, Gestão / Liderança",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
15/06/2026 18:06:06,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Gestão / PM,22 – 25 anos,Estágio,Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, Java, SQL / Bancos de dados",Inglês,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas,"Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Ampla quantidade de vagas e estabilidade relativa do setor","Soft skills / comunicação, Inglês técnico, Arquitetura de software, IA / Machine Learning, Gestão / Liderança",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
15/06/2026 18:07:11,7º ao 8º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, Front-end, Full-stack",18 – 21 anos,Estágio,Júnior,3 – 5 anos,"JavaScript / TypeScript, Java, C# / .NET, SQL / Bancos de dados",Inglês,Não possuo e não tenho interesse no momento,"Resfriado  —  Vagas escassas, difícil entrar ou crescer",Negativo — Sinto que prejudica o aprendizado profundo ou gera dependência excessiva,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Talvez, ainda avaliando","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos, Impacto real dos produtos construídos na vida das pessoas","Soft skills / comunicação, Arquitetura de software, Cloud / DevOps, Gestão / Liderança","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
15/06/2026 19:15:33,5º ao 6º período,"Experiência Profissional — Já trabalhava formal ou informalmente na área (freelas, estágio ou CLT) antes de iniciar a graduação.","Sim, atualmente  —  Estou empregado(a) na área",Back-end,18 – 21 anos,CLT,Sênior,6 – 10 anos,"Java, Go","Inglês, Espanhol","Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Negativo — Sinto que prejudica o aprendizado profundo ou gera dependência excessiva,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Trabalhar para o exterior ou me mudar, Seguir carreira acadêmica / mestrado / doutorado, Empreender / criar meu próprio negócio",Desafio intelectual e a satisfação de resolver problemas complexos,"IA / Machine Learning, Gestão / Liderança","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
15/06/2026 19:27:19,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Back-end,26 – 30 anos,CLT,Júnior,3 – 5 anos,"Python, Kotlin / Swift","Inglês, Espanhol",Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Talvez, ainda avaliando",Ser promovido(a) / subir de nível,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Arquitetura de software, Cloud / DevOps","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
15/06/2026 22:18:05,7º ao 8º período,"Experiência Profissional — Já trabalhava formal ou informalmente na área (freelas, estágio ou CLT) antes de iniciar a graduação.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, DevOps / Cloud, Pesquisa Acadêmica",22 – 25 anos,CLT,Pleno,3 – 5 anos,"JavaScript / TypeScript, Python, Java, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,Não possuo e não tenho interesse no momento,"Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Talvez, ainda avaliando","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Seguir carreira acadêmica / mestrado / doutorado","Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Arquitetura de software, IA / Machine Learning, Gestão / Liderança",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
22/06/2026 20:06:42,7º ao 8º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, DevOps / Cloud, TI",22 – 25 anos,PJ,Pleno,3 – 5 anos,"JavaScript / TypeScript, Python, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Inglês técnico, IA / Machine Learning, Gestão / Liderança",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
22/06/2026 20:09:21,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, Mobile",31 – 35 anos,CLT,Júnior,3 – 5 anos,"JavaScript / TypeScript, Java, C# / .NET, SQL / Bancos de dados",Inglês,Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas","Sim, é uma meta","Ser promovido(a) / subir de nível, Trabalhar para o exterior ou me mudar, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Impacto real dos produtos construídos na vida das pessoas","Soft skills / comunicação, Arquitetura de software",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
23/06/2026 13:09:44,7º ao 8º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área",Full-stack,22 – 25 anos,CLT,Pleno,3 – 5 anos,"JavaScript / TypeScript, Java, Kotlin / Swift",Espanhol,"Sim, possuo e mantenho ativa(s)","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Sim, é uma meta",Trabalhar para o exterior ou me mudar,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)",Inglês técnico,"Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
23/06/2026 13:20:02,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, Full-stack",18 – 21 anos,"CLT, Freelancer / autônomo",Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, Java, SQL / Bancos de dados",Inglês,Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Flexibilidade (como a possibilidade de atuar em Home Office), Impacto real dos produtos construídos na vida das pessoas","Soft skills / comunicação, Arquitetura de software",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
23/06/2026 13:26:46,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Full-stack, Mobile, Dados / BI, DevOps / Cloud",22 – 25 anos,CLT,Pleno,3 – 5 anos,"JavaScript / TypeScript, Java, SQL / Bancos de dados, AWS / GCP / Azure","Inglês, Mandarim","Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta","Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)","Arquitetura de software, Testes automatizados, IA / Machine Learning",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
23/06/2026 14:10:18,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Gerencio toda parte técnica da empresa,18 – 21 anos,Freelancer / autônomo,Não me aplico,3 – 5 anos,"JavaScript / TypeScript, Python, Java",Inglês,Não possuo e não tenho interesse no momento,"Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Talvez, ainda avaliando",Empreender / criar meu próprio negócio,Propósito,"Soft skills / comunicação, Inglês técnico, Testes automatizados",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
23/06/2026 15:06:04,5º ao 6º período,"Experiência Profissional — Já trabalhava formal ou informalmente na área (freelas, estágio ou CLT) antes de iniciar a graduação.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, DevOps / Cloud",22 – 25 anos,CLT,Pleno,3 – 5 anos,"Java, C# / .NET, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta",Ser promovido(a) / subir de nível,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos, Ampla quantidade de vagas e estabilidade relativa do setor","Inglês técnico, Arquitetura de software, Cloud / DevOps, IA / Machine Learning",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
23/06/2026 15:54:29,7º ao 8º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área",Full-stack,26 – 30 anos,PJ,Júnior,3 – 5 anos,"JavaScript / TypeScript, Python, Java, SQL / Bancos de dados","Inglês, Espanhol",Não possuo e não tenho interesse no momento,"Resfriado  —  Vagas escassas, difícil entrar ou crescer",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta",Migrar para uma empresa maior ou mais reconhecida,"Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Soft skills / comunicação, IA / Machine Learning, Gestão / Liderança","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."